Prediction errors:
9431. nenä-#[NOM]#AhtA#mAtOn 
9433. nenä-#[NOM]#AhtA#mA 
9434. nenä-#[NOM]#AhtA#vA 
9436. nenä-#[NOM]#Aise#(t)A 
9438. nenä-#[NOM]#Aise#T/fin#prs#n 
9442. nenä-#[NOM]#Aise#jA 
9446. nenä-#[NOM]#Aise#mAtOn 
9448. nenä-#[NOM]#Aise#mA 
9449. nenä-#[NOM]#Aise#vA 
9471. nenä-#[NOM]#O#tAr 
9473. nenä-#[NOM]#O#[NOM] 
9474. nenä-#[NOM]#O#inen 
9475. nenä-#[NOM]#O#mAinen 
9477. nenä-#[NOM]#O#tOn 
9488. nenä-#[NOM]#Us#[NOM] 
9490. nenä-#[NOM]#Us#mAinen 
9516. nenä-#[NOM]#(t)e#tAr 
9518. nenä-#[NOM]#(t)e#[NOM] 
9519. nenä-#[NOM]#(t)e#inen 
9520. nenä-#[NOM]#(t)e#mAinen 
12661. istu-#TA#AhtA#(t)A 
12663. istu-#TA#AhtA#T/fin#prs#n 
12667. istu-#TA#AhtA#jA 
12671. istu-#TA#AhtA#mAtOn 
12673. istu-#TA#AhtA#mA 
12674. istu-#TA#AhtA#vA 
12676. istu-#TA#Aise#(t)A 
12678. istu-#TA#Aise#T/fin#prs#n 
12682. istu-#TA#Aise#jA 
12686. istu-#TA#Aise#mAtOn 
