give-           {'-COMP:FIN', 'PHI:NUM:_', 'ASP', 'ARG', 'PF:give', 'PHI:DET:_', 'PHI:GEN:_', 'LF:give', '-VAL', 'SPEC:P', '-COMP:N', 'COMP:P', 'CLASS:DITR', '!COMP:*', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'LANG:EN', 'PHON', '+SEM:directional', 'SPEC:TO/inf'}
Giuseppe        {'LANG:IT', 'PHON'}
Giuseppe-       {'-COMP:A', 'PF:Giuseppe', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', 'LANG:IT', '-COMP:T/fin', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'LF:Giuseppe', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', 'R:REF:PROPER_NAME', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
haluaa          {'PHON', 'LANG:FI'}
halusi          {'PHON', 'LANG:FI'}
halusimme       {'PHON', 'LANG:FI'}
haluan          {'PHON', 'LANG:FI'}
halua           {'PHON', 'LANG:FI'}
haluamalla      {'PHON', 'LANG:FI'}
haluttiin       {'PHON', 'LANG:FI'}
haluttu         {'PHON', 'LANG:FI'}
